Proprietary Name	NDC Package Code	Strength	Dosage Form	Route	Appl. No.	Labeler Name	Product NDC	Nonproprietary Name	Substance Name	Product Type Name	Start Marketing Date	End Marketing Date	Market Category	Package Description	Pharm Class	DEA	Sample Package	Listing Record Certified Through:
Saxenda	0169-2800-15	6 mg/mL	"INJECTION, SOLUTION"	SUBCUTANEOUS	NDA206321	Novo Nordisk	0169-2800	liraglutide	LIRAGLUTIDE	HUMAN PRESCRIPTION DRUG	12/31/2014	N/A	NDA	"5 SYRINGE, PLASTIC in 1 CARTON (0169-2800-15)  > 3 mL in 1 SYRINGE, PLASTIC"	"GLP-1 Receptor Agonist [EPC], Glucagon-Like Peptide 1 [CS], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA]"	N/A	No	12/31/2021
Saxenda	0169-2800-90	6 mg/mL	"INJECTION, SOLUTION"	SUBCUTANEOUS	NDA206321	Novo Nordisk	0169-2800	liraglutide	LIRAGLUTIDE	HUMAN PRESCRIPTION DRUG	12/31/2014	N/A	NDA	"1 SYRINGE, PLASTIC in 1 CARTON (0169-2800-90)  > 3 mL in 1 SYRINGE, PLASTIC"	"GLP-1 Receptor Agonist [EPC], Glucagon-Like Peptide 1 [CS], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA]"	N/A	No	12/31/2021
Saxenda	0169-2800-97	6 mg/mL	"INJECTION, SOLUTION"	SUBCUTANEOUS	NDA206321	Novo Nordisk	0169-2800	liraglutide	LIRAGLUTIDE	HUMAN PRESCRIPTION DRUG	12/31/2014	N/A	NDA	"1 SYRINGE, PLASTIC in 1 CARTON (0169-2800-97)  > 3 mL in 1 SYRINGE, PLASTIC"	"GLP-1 Receptor Agonist [EPC], Glucagon-Like Peptide 1 [CS], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA]"	N/A	No	12/31/2021
Xenical	61269-460-90	120 mg/1	CAPSULE	ORAL	NDA020766	H2-Pharma LLC	61269-460	orlistat	ORLISTAT	HUMAN PRESCRIPTION DRUG	12/17/2010	N/A	NDA	"90 CAPSULE in 1 BOTTLE, PLASTIC (61269-460-90)"	"Intestinal Lipase Inhibitor [EPC], Lipase Inhibitors [MoA]"	N/A	No	12/31/2020
Belviq	62856-529-60	10 mg/1	TABLET	ORAL	NDA022529	Eisai Inc.	62856-529	lorcaserin hydrochloride hemihydrate	LORCASERIN HYDROCHLORIDE HEMIHYDRATE	HUMAN PRESCRIPTION DRUG	06/27/2012	N/A	NDA	60 TABLET in 1 BOTTLE (62856-529-60)	"Serotonin-2c Receptor Agonist [EPC], Serotonin 2c Receptor Agonists [MoA], Cytochrome P450 2D6 Inhibitors [MoA]"	CIV	No	12/31/2021
BELVIQ XR	62856-535-30	20 mg/1	"TABLET, FILM COATED, EXTENDED RELEASE"	ORAL	NDA208524	Eisai Inc.	62856-535	lorcaserin hydrochloride hemihydrate	LORCASERIN HYDROCHLORIDE HEMIHYDRATE	HUMAN PRESCRIPTION DRUG	07/15/2016	N/A	NDA	"30 TABLET, FILM COATED, EXTENDED RELEASE in 1 BOTTLE (62856-535-30)"	"Serotonin-2c Receptor Agonist [EPC], Serotonin 2c Receptor Agonists [MoA], Cytochrome P450 2D6 Inhibitors [MoA]"	CIV	No	12/31/2021
Qsymia	62541-202-30	"7.5 mg/1,                         46  mg/1"	"CAPSULE, EXTENDED RELEASE"	ORAL	NDA022580	"Vivus, Inc."	62541-202	phentermine and topiramate	PHENTERMINE HYDROCHLORIDE;  TOPIRAMATE	HUMAN PRESCRIPTION DRUG	09/17/2012	N/A	NDA	"30 CAPSULE, EXTENDED RELEASE in 1 BOTTLE, UNIT-DOSE (62541-202-30)"	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC], Decreased Central Nervous System Disorganized Electrical Activity [PE], Cytochrome P450 3A4 Inducers [MoA], Cytochrome P450 2C19 Inhibitors [MoA]"	CIV	No	12/31/2021
Qsymia	62541-204-30	"15 mg/1,                         92  mg/1"	"CAPSULE, EXTENDED RELEASE"	ORAL	NDA022580	"Vivus, Inc."	62541-204	phentermine and topiramate	PHENTERMINE HYDROCHLORIDE;  TOPIRAMATE	HUMAN PRESCRIPTION DRUG	09/17/2012	N/A	NDA	"30 CAPSULE, EXTENDED RELEASE in 1 BOTTLE, UNIT-DOSE (62541-204-30)"	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC], Decreased Central Nervous System Disorganized Electrical Activity [PE], Cytochrome P450 3A4 Inducers [MoA], Cytochrome P450 2C19 Inhibitors [MoA]"	CIV	No	12/31/2021
Qsymia	62541-201-30	"3.75 mg/1,                         23  mg/1"	"CAPSULE, EXTENDED RELEASE"	ORAL	NDA022580	"Vivus, Inc."	62541-201	phentermine and topiramate	PHENTERMINE HYDROCHLORIDE;  TOPIRAMATE	HUMAN PRESCRIPTION DRUG	09/17/2012	N/A	NDA	"30 CAPSULE, EXTENDED RELEASE in 1 BOTTLE, UNIT-DOSE (62541-201-30)"	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC], Decreased Central Nervous System Disorganized Electrical Activity [PE], Cytochrome P450 3A4 Inducers [MoA], Cytochrome P450 2C19 Inhibitors [MoA]"	CIV	No	12/31/2021
Qsymia	62541-203-30	"11.25 mg/1,                         69  mg/1"	"CAPSULE, EXTENDED RELEASE"	ORAL	NDA022580	"Vivus, Inc."	62541-203	phentermine and topiramate	PHENTERMINE HYDROCHLORIDE;  TOPIRAMATE	HUMAN PRESCRIPTION DRUG	09/17/2012	N/A	NDA	"30 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (62541-203-30)"	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC], Decreased Central Nervous System Disorganized Electrical Activity [PE], Cytochrome P450 3A4 Inducers [MoA], Cytochrome P450 2C19 Inhibitors [MoA]"	CIV	No	12/31/2021
Qsymia	62541-201-14	"3.75 mg/1,                         23  mg/1"	"CAPSULE, EXTENDED RELEASE"	ORAL	NDA022580	"Vivus, Inc."	62541-201	phentermine and topiramate	PHENTERMINE HYDROCHLORIDE;  TOPIRAMATE	HUMAN PRESCRIPTION DRUG	09/17/2012	N/A	NDA	"14 CAPSULE, EXTENDED RELEASE in 1 BOTTLE, UNIT-DOSE (62541-201-14)"	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC], Decreased Central Nervous System Disorganized Electrical Activity [PE], Cytochrome P450 3A4 Inducers [MoA], Cytochrome P450 2C19 Inhibitors [MoA]"	CIV	No	12/31/2021
